station_shp,survey_name_df,operator_string,route_string,board_lat,board_lon,alight_lat,alight_lon
canonical_station_shp,ac_transit,CALTRAIN,final_trip_to_fourth_route,final_transfer_from_fourth_boarding_lat,final_transfer_from_fourth_boarding_lon,final_transfer_from_fourth_alighting_lat,final_transfer_from_fourth_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_first_route,final_transfer_from_first_boarding_lat,final_transfer_from_first_boarding_lon,final_transfer_from_first_alighting_lat,final_transfer_from_first_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_second_route,final_transfer_from_second_boarding_lat,final_transfer_from_second_boarding_lon,final_transfer_from_second_alighting_lat,final_transfer_from_second_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_third_route,final_transfer_from_third_boarding_lat,final_transfer_from_third_boarding_lon,final_transfer_from_third_alighting_lat,final_transfer_from_third_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_to_first_route,final_transfer_from_first_boarding_lat,final_transfer_from_first_boarding_lon,final_transfer_from_first_alighting_lat,final_transfer_from_first_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_to_second_route,final_transfer_from_second_boarding_lat,final_transfer_from_second_boarding_lon,final_transfer_from_second_alighting_lat,final_transfer_from_second_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_to_third_route,final_transfer_from_third_boarding_lat,final_transfer_from_third_boarding_lon,final_transfer_from_third_alighting_lat,final_transfer_from_third_alighting_lon
canonical_station_shp,sf_muni,BART,final_trip_to_fourth_route,final_transfer_from_fourth_boarding_lat,final_transfer_from_fourth_boarding_lon,final_transfer_from_fourth_alighting_lat,final_transfer_from_fourth_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_first_route,final_transfer_from_first_boarding_lat,final_transfer_from_first_boarding_lon,final_transfer_from_first_alighting_lat,final_transfer_from_first_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_second_route,final_transfer_from_second_boarding_lat,final_transfer_from_second_boarding_lon,final_transfer_from_second_alighting_lat,final_transfer_from_second_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_third_route,final_transfer_from_third_boarding_lat,final_transfer_from_third_boarding_lon,final_transfer_from_third_alighting_lat,final_transfer_from_third_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_to_first_route,final_transfer_from_first_boarding_lat,final_transfer_from_first_boarding_lon,final_transfer_from_first_alighting_lat,final_transfer_from_first_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_to_second_route,final_transfer_from_second_boarding_lat,final_transfer_from_second_boarding_lon,final_transfer_from_second_alighting_lat,final_transfer_from_second_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_to_third_route,final_transfer_from_third_boarding_lat,final_transfer_from_third_boarding_lon,final_transfer_from_third_alighting_lat,final_transfer_from_third_alighting_lon
canonical_station_shp,sf_muni,CALTRAIN,final_trip_to_fourth_route,final_transfer_from_fourth_boarding_lat,final_transfer_from_fourth_boarding_lon,final_transfer_from_fourth_alighting_lat,final_transfer_from_fourth_alighting_lon
